source_zone,target_zone,shared_event_weight
BENGALURU LINE,Subramanyapura Substation,3
BENGALURU TRANSFORMER,Somasamudra,2
HASSAN TRANSFORMER,Hunsur,1
TUMKUR LINE,Vijayapura,1
Haveri,TUMKUR LINE,2
Beranahalli,TUMKUR LINE,3
Nitturu,TUMKUR TRANSFORMER,1
BAGALKOTE LINE,Basavanakatti,1
BAGALKOTE LINE,Enercon,1
Anmod,BAGALKOTE TRANSFORMER,2
BENGALURU LINE,Maralavadi,1
BENGALURU LINE,Electronic City Phase 2,1
HASSAN LINE,Madhuvana,4
HASSAN TRANSFORMER,Hanagodu,1
Chelur,TUMKUR LINE,3
Chitradurga Traction,TUMKUR LINE,6
Hebburu,TUMKUR LINE,1
Kalamaranahalli,TUMKUR LINE,2
Lingadahalli,TUMKUR LINE,4
Kundur,TUMKUR TRANSFORMER,1
TUMKUR TRANSFORMER,Tyavaagi,1
BAGALKOTE TRANSFORMER,Bagalkot,3
BENGALURU LINE,Platinum City Power Station,2
BENGALURU LINE,Nelamangala,2
Doni,TUMKUR LINE,1
Aigali,BAGALKOTE LINE,3
BAGALKOTE LINE,Ramadurga,2
BAGALKOTE LINE,Katarki,2
BAGALKOTE TRANSFORMER,Mughalkod,1
BENGALURU LINE,Jayadeva,5
BENGALURU TRANSFORMER,Venkatagiri,1
HASSAN LINE,Hanbal,6
Anandapur,HASSAN LINE,4
Hanagodu,MYSORE LINE,17
Hebbani,MYSORE LINE,6
MYSORE LINE,nan,101
Kushalnagar,MYSORE LINE,31
MYSORE LINE,Virajpet,2
Kadakola,MYSORE LINE,45
MYSORE TRANSFORMER,nan,105
Kunigal,TUMKUR LINE,1
Shimoga,TUMKUR LINE,3
BAGALKOTE LINE,Hukkeri,1
BAGALKOTE LINE,Kanagala,4
BAGALKOTE LINE,Bagalkot,17
BAGALKOTE LINE,Chikkodi,7
Attibele,BENGALURU LINE,3
BENGALURU TRANSFORMER,Latur,1
Beguru,MYSORE LINE,3
Gundlupet,MYSORE LINE,1
MYSORE LINE,Madhuvanahally,6
Kattige,TUMKUR LINE,9
BAGALKOTE LINE,Ramankoppa,1
BAGALKOTE LINE,Sultanpur,4
BAGALKOTE LINE,Hirekerur,4
BAGALKOTE TRANSFORMER,Hubli,1
BENGALURU LINE,Exora,3
BENGALURU LINE,Godur,1
BENGALURU TRANSFORMER,Kurugodu,2
HASSAN LINE,Sagara,17
HASSAN LINE,Varahi,5
Hunsur,MYSORE LINE,19
Halagur,MYSORE LINE,1
MYSORE LINE,Tubinakere,11
Nagasamudra,TUMKUR LINE,6
Hiriyuru,TUMKUR LINE,3
BENGALURU LINE,Bidadi,1
BENGALURU LINE,Sira,2
HASSAN LINE,Soraba,3
HASSAN LINE,UPCL,4
MYSORE LINE,Ramapura,1
Hampapura,MYSORE LINE,3
Malebennuru,TUMKUR LINE,7
Guttur New,TUMKUR LINE,6
Guddadahalli,TUMKUR LINE,1
KIADB Substation,TUMKUR TRANSFORMER,4
BAGALKOTE LINE,Kittur,2
BAGALKOTE LINE,MK Hubli,3
BAGALKOTE LINE,Ron,3
BAGALKOTE LINE,Haveri,9
BENGALURU LINE,Hebbani,1
Bargur,HASSAN LINE,2
MYSORE LINE,Uttur,4
MYSORE LINE,Ponnampet,7
MYSORE LINE,Talavadi,1
Hangal,TUMKUR LINE,1
BAGALKOTE LINE,Sadalaga,1
BENGALURU LINE,Vikas Tech Park Substation,4
BENGALURU TRANSFORMER,Kamalapura,1
Alnavar,BAGALKOTE LINE,1
BAGALKOTE LINE,Kadra,2
Athani,BAGALKOTE LINE,5
BAGALKOTE LINE,Kudachi,7
BAGALKOTE TRANSFORMER,Kudachi,1
BAGALKOTE TRANSFORMER,Raibagh,8
BAGALKOTE TRANSFORMER,Mudhol,3
Ainapur,BAGALKOTE TRANSFORMER,1
Hullenahalli,MYSORE LINE,1
Ankali,BAGALKOTE LINE,1
BAGALKOTE LINE,Melligeri,2
BAGALKOTE TRANSFORMER,Khadaklat,1
BAGALKOTE TRANSFORMER,Halyal,6
BENGALURU LINE,Mudiyanur,2
BENGALURU LINE,Chelur,2
BENGALURU TRANSFORMER,Halbarga,1
Ramagiri Sub Station,TUMKUR LINE,6
BAGALKOTE LINE,Sirasi,24
BAGALKOTE LINE,Hattaragi,1
BAGALKOTE LINE,Lokapur,1
Annigeri,BAGALKOTE LINE,4
BAGALKOTE LINE,Navalgund,3
BAGALKOTE LINE,Bilagi,2
BAGALKOTE LINE,Kavalwad,4
BAGALKOTE LINE,Hirehala,1
BAGALKOTE LINE,Navalagi,5
BAGALKOTE LINE,Kiravatti,3
BAGALKOTE LINE,Naganur,3
BAGALKOTE TRANSFORMER,Bilagi,3
BAGALKOTE TRANSFORMER,Kaladagi,3
BAGALKOTE TRANSFORMER,Talikoti,3
BAGALKOTE TRANSFORMER,Hirekerur,5
BAGALKOTE TRANSFORMER,Shiggaon Sub Station,3
BAGALKOTE TRANSFORMER,Gokak,1
BAGALKOTE TRANSFORMER,Vadgaon,1
Athani,BAGALKOTE TRANSFORMER,1
BAGALKOTE TRANSFORMER,Ghataprabha,2
Bettadapura,MYSORE LINE,2
MYSORE LINE,Periyapatna,4
MYSORE LINE,Nagamangala,6
Attigere,TUMKUR LINE,2
Bargur,TUMKUR LINE,1
Honnalli,TUMKUR TRANSFORMER,3
Davanagere,TUMKUR TRANSFORMER,5
Anmod,BAGALKOTE LINE,4
BAGALKOTE LINE,Konnur,3
BAGALKOTE LINE,Terdal,1
BAGALKOTE TRANSFORMER,Gadag,5
BAGALKOTE TRANSFORMER,Ranebennuru,2
BAGALKOTE TRANSFORMER,Kagwad,1
BAGALKOTE TRANSFORMER,Bijapur City,5
BAGALKOTE TRANSFORMER,Shiggoan,1
BENGALURU LINE,Magadi,5
BENGALURU TRANSFORMER,Hiresindhogi,1
HASSAN LINE,Mudigere,5
Belur,HASSAN LINE,2
HASSAN LINE,Honnalli,1
HASSAN LINE,Shimoga,3
Bylakuppe,MYSORE LINE,1
MYSORE LINE,Vajamangala,3
MYSORE TRANSFORMER,Periyapatna,2
Kushalnagar,MYSORE TRANSFORMER,1
Bhaktarahalli,TUMKUR LINE,2
Hanagal,TUMKUR LINE,1
Mathodu,TUMKUR TRANSFORMER,1
Ramapura,TUMKUR TRANSFORMER,1
BAGALKOTE LINE,Hudali,5
BAGALKOTE LINE,Umachagi,2
Alabal,BAGALKOTE LINE,4
Ankola,BAGALKOTE LINE,1
BAGALKOTE LINE,Laxmeshwar,1
BAGALKOTE LINE,Yallammanawadi,3
BAGALKOTE TRANSFORMER,Hudali,2
BAGALKOTE TRANSFORMER,Laxmeshwar,5
BAGALKOTE TRANSFORMER,Ron,1
BAGALKOTE TRANSFORMER,Navalagi,3
Aremallapur,BAGALKOTE TRANSFORMER,1
HASSAN LINE,Salagame,3
HASSAN TRANSFORMER,Sagara,2
Narendra,TUMKUR LINE,1
BAGALKOTE LINE,Shiggaon Sub Station,1
BAGALKOTE LINE,Talikoti,1
BAGALKOTE TRANSFORMER,Mundaragi,1
Arehalli,HASSAN LINE,1
Hosur Gate,MYSORE LINE,1
Kanagala,MYSORE LINE,1
MYSORE LINE,Panniyadhundai,2
Enercon,TUMKUR LINE,1
Kallur,TUMKUR LINE,1
BAGALKOTE LINE,Mundaragi,1
BAGALKOTE LINE,Hiremural,1
BAGALKOTE LINE,Indi,3
Aheri,BAGALKOTE LINE,3
BAGALKOTE LINE,Balligavi,1
Atharga,BAGALKOTE TRANSFORMER,1
BAGALKOTE TRANSFORMER,Hangal,2
BAGALKOTE TRANSFORMER,Munavalli,3
HASSAN TRANSFORMER,Hassan,1
Bidarekere,TUMKUR LINE,3
Kudligi,TUMKUR LINE,1
220kV SADAWAGHAPUR (Wind),TUMKUR LINE,1
BAGALKOTE LINE,Daddi,2
Nitturu,TUMKUR LINE,1
Alagur,BAGALKOTE LINE,1
BAGALKOTE LINE,Raibagh,2
BAGALKOTE LINE,Savalagi,1
BAGALKOTE LINE,Guddadahalli,1
BAGALKOTE TRANSFORMER,Bidi,1
BAGALKOTE TRANSFORMER,Hattaragi,4
BAGALKOTE TRANSFORMER,Singatalur,7
BAGALKOTE TRANSFORMER,Murdeswara,1
BENGALURU LINE,Mathikere,1
BENGALURU LINE,MEI Layout,1
MYSORE LINE,PG Palya,2
Mathodu,TUMKUR LINE,3
Antharasanahalli,TUMKUR LINE,1
BAGALKOTE LINE,Malghan,1
BAGALKOTE LINE,Mukarthihal,1
BAGALKOTE LINE,Guttal,1
Koppa,MYSORE LINE,2
BAGALKOTE LINE,Devaragennur,2
BAGALKOTE LINE,Tarihal,1
BAGALKOTE LINE,Belgaum,1
BAGALKOTE TRANSFORMER,Todalbagi,1
BENGALURU TRANSFORMER,Humnabad,1
MYSORE LINE,Meghalapura,1
BAGALKOTE LINE,Uttur,1
BAGALKOTE TRANSFORMER,Mukarthihal,3
BAGALKOTE TRANSFORMER,Kadanakoppa,1
MYSORE LINE,Yelanduru,5
BAGALKOTE LINE,Mudhol,1
BAGALKOTE TRANSFORMER,Hanagal,2
BENGALURU LINE,Golf Links Substation,1
BENGALURU LINE,ITI,1
BAGALKOTE LINE,Honaga,1
BAGALKOTE LINE,Machhe,1
BAGALKOTE TRANSFORMER,Sankeshwara,1
BAGALKOTE TRANSFORMER,Kalaghatagi,1
BAGALKOTE TRANSFORMER,Tuminakatte,1
Aurad,BENGALURU TRANSFORMER,1
MYSORE LINE,Taripura,1
Balenahalli,TUMKUR LINE,1
Honnavalli,TUMKUR LINE,1
Bukkapattana,TUMKUR TRANSFORMER,1
Kunigal,TUMKUR TRANSFORMER,1
BAGALKOTE LINE,Gajendragad,2
BAGALKOTE LINE,Muddebihal,1
BAGALKOTE LINE,Koppal,1
BENGALURU TRANSFORMER,Mallat,1
MYSORE LINE,Vijayapura,1
Hadavanahalli,TUMKUR LINE,1
Honnali,TUMKUR LINE,1
Hangal,TUMKUR TRANSFORMER,1
Aigali,BAGALKOTE,42
BAGALKOTE,Gopankoppa,49
BAGALKOTE,Udyambag,69
BENGALURU,nan,2387
BENGALURU,Vidyanagar,21
BENGALURU,Maralavadi,5
BENGALURU,Gulbarga,13
BENGALURU,Ganjigunte,10
BENGALURU,Sovenahalli,5
BENGALURU,Bangarapete,7
BENGALURU,Suzlon Kurugodu,1
HASSAN,Maddur,1
BAGALKOTE,Uttur,15
BENGALURU,Bagmane WTC,6
BENGALURU,HMT,1
BENGALURU,Mathikere,2
BENGALURU,BG Road,9
BENGALURU,Mudiyanur,4
BENGALURU,HAL Substation,2
Bommalapura,HASSAN,3
BAGALKOTE,Navanagara,15
BAGALKOTE,Enercon,5
BENGALURU,Golf Links Substation,12
BENGALURU,Magadi,5
BENGALURU,Budigere,6
BENGALURU,Subramanyapura Substation,5
BAGALKOTE,Belur,6
BENGALURU,Karajagi,1
HASSAN,Kittur,1
BAGALKOTE,Hirebevanura,13
BENGALURU,Gudibanda,1
BENGALURU,Jayadeva,4
Arehalli,BENGALURU,3
BENGALURU,Srinivaspura,1
HASSAN,Hampapura,1
BAGALKOTE,Tuminakatte,1
BENGALURU,Chowdapur,1
BAGALKOTE,Kanbargi,16
BAGALKOTE,Shiggaon Sub Station,4
BENGALURU,ITI,4
Attibele,BENGALURU,18
BAGALKOTE,Gokak,20
BAGALKOTE,Betageri,7
BENGALURU,Chelur,3
BENGALURU,Giriyapura,2
BAGALKOTE,Bisnal,12
BENGALURU,Godur,2
BENGALURU,REMCO,9
BENGALURU,Mulbagal,4
HASSAN,Heggunje,9
BAGALKOTE,Murdeswara,16
BENGALURU,Kolar Sub Station,6
BENGALURU,Gudekote,1
BAGALKOTE,Satti,2
BENGALURU,Bhoruka,3
BENGALURU,Hoskote,9
BENGALURU,Bellary North,1
BENGALURU,Banashankari,1
BENGALURU,Somanahalli Substation,8
BENGALURU,Mallat,1
BAGALKOTE,Kushtagi,8
BAGALKOTE,Shirabur,1
BAGALKOTE,Belavanki,1
BAGALKOTE,Ronihal,3
BENGALURU,Dibburahalli,2
BENGALURU,Vikas Tech Park Substation,6
BENGALURU,Hassan,3
BENGALURU,Platinum City Power Station,5
Gudekote,TUMKUR,8
Kundur,TUMKUR,12
BENGALURU,Ramapura,1
BENGALURU,Raichur,1
Attigere,TUMKUR,4
Chikkanayakanahalli,TUMKUR,4
Doni,TUMKUR,1
Avanti,BAGALKOTE,1
BENGALURU,Koppal,1
BAGALKOTE,Yallammanawadi,2
BENGALURU,Manyata,7
Abbigere,BENGALURU,5
Aurad,BENGALURU,1
HASSAN,Togarshi,1
BAGALKOTE,Mareguddi,1
BAGALKOTE,Nidagundi,3
BAGALKOTE,Saidapur,2
BAGALKOTE,Hidakal,7
BAGALKOTE,Satish Sugars,1
BENGALURU,Hebbal Substation,6
BENGALURU,Hosur,4
BENGALURU,Korwar Temple,1
Honnavalli,TUMKUR,5
BAGALKOTE,Bidi,13
BENGALURU,Budikote,3
Austin Town Substation,BENGALURU,1
BENGALURU,Renew Solar,2
HASSAN,Mattanavile,16
BAGALKOTE,Khadaklat,22
Anekal,BENGALURU,13
Nitturu,TUMKUR,8
BAGALKOTE,Sultanpur,21
BENGALURU,Humnabad,1
BAGALKOTE,Koppal,5
GULBARGA,Korwar Temple,6
Bhalki,GULBARGA,8
BAGALKOTE,Siddapura,3
GULBARGA,Mandewal,6
Bharangi,HASSAN,1
Bukkapattana,TUMKUR,4
Nelamangala,TUMKUR,4
BAGALKOTE,Mundagoda,10
BAGALKOTE,Ramadurga,5
BAGALKOTE,Saundatti,29
Bennur,GULBARGA,12
BAGALKOTE,Vadgaon,5
Aheri,GULBARGA,4
GULBARGA,Siruguppa,10
GULBARGA,Suzlon,4
MYSORE,Ramapura,3
BAGALKOTE,Supa,2
Anmod,BAGALKOTE,4
Chowdapur,GULBARGA,6
GULBARGA,Kamalnagar,3
Afzalpur,BAGALKOTE,2
GULBARGA,Karajagi,5
GULBARGA,Madyal,2
BAGALKOTE,Khanapur,3
BAGALKOTE,Naganur,3
BAGALKOTE,Basavanakatti,15
GULBARGA,Sovenahalli,4
GULBARGA,Janawada,2
Anandapur,HASSAN,6
BAGALKOTE,Jambagi KD,1
BAGALKOTE,Katarki,2
Avanti,BANGALORE,32
MYSORE,Talavadi,6
BANGALORE,BEL,6
GULBARGA,Santhpur,2
Chamarajanagara,MYSORE,1
Dubalgundi,GULBARGA,1
GULBARGA,Jewargi,3
GULBARGA,South Solapur,1
BAGALKOTE,Kavatagi LIS,4
Kadaba,TUMKUR,4
BANGALORE,Bhoruka,3
GULBARGA,Gangavathi Sub Station,2
HASSAN,PG Palya,3
HASSAN,Yelanduru,1
GULBARGA,Somasamudra,1
HASSAN,Moodabidre,5
GULBARGA,Valkamdinni,1
HASSAN,Sindhuvallipura,1
BAGALKOTE,Masuti,1
HASSAN,Koppa,1
BANGALORE,Ramapura,3
Enercon,TUMKUR,2
GULBARGA,Gulbarga South,1
BAGALKOTE,Jamkhandi Sugars,7
BANGALORE,Chokkasandra,1
C.R.Patna,MYSORE,1
Gubbi,TUMKUR,5
GULBARGA,Giriyapura,10
BAGALKOTE,Shirgaon,1
BAGALKOTE,Savalagi,1
BANGALORE,Nelamangala,7
BAGALKOTE,Suzlon,3
GULBARGA,Halavarti,3
GULBARGA,Kavital,1
GULBARGA,Mallapur MHS,2
Bhoruka,GULBARGA,3
BAGALKOT,Bailahongala,5
BAGALKOT,LIS,31
BAGALKOT,Hangal,9
BAGALKOT,Salahalli,10
BAGALKOT,Savanur,18
BAGALKOT,Tuminakatte,4
BAGALKOT,Rabkavi,3
BAGALKOT,Jindal,5
Akhilagya Solar,BAGALKOT,1
BAGALKOT,Katarki,2
BAGALKOT,Kavatagi LIS,3
Athani Sugars,BAGALKOT,1
BAGALKOT,Girisagar,1
BAGALKOT,Shirabur,1
BAGALKOT,Manthur,1
BAGALKOT,Saidapur,2
BAGALKOT,Honaga,2
BENGALURU,Mahalakshmi Layout,2
BENGALURU,Brindavan,4
BENGALURU,Tubinakere,20
BENGALURU,Vajamangala,13
BENGALURU,Bidadi,9
BENGALURU,Talaguppa,3
BENGALURU,Pathapalya,2
BENGALURU,Hebbani,14
BENGALURU,Soladevanahalli,2
BEL,BENGALURU,2
BENGALURU,Hoody Traction,1
BENGALURU,Madhugiri,1
Adugodi Substation,BENGALURU,3
BENGALURU,Electronic City Phase 2,2
BENGALURU,Padmanabha Nagar Substation,5
BENGALURU,Sira,3
BENGALURU,Jadigenahalli,3
BENGALURU,Gokula,3
BENGALURU,Pottery Road,1
BENGALURU,Tamaka,5
BENGALURU,Pavagada,4
BENGALURU,Mittemari,2
BENGALURU,Channapatna,1
BENGALURU,Kumbalagodu,2
BENGALURU,Iggaluru,1
MYSORE,Sindhuvallipura,2
Kampalapura,MYSORE,2
MYSORE,Vijayapura,3
MYSORE,Shahabad,1
Gerusoppa,HASSAN,1
Guruvayanakere,HASSAN,2
HASSAN,Yagathi,1
HASSAN,Lingadahalli,2
Essur,HASSAN,1
Alagur,BAGALKOT,7
BAGALKOT,Gopankoppa,31
BANGALORE,SRS Peenya Substation,5
BANGALORE,Harohalli,1
BANGALORE,Koramangala Substation,10
BANGALORE,Nangali,1
BANGALORE,Yelahanka,6
BANGALORE,Victoria Hospital Substation,2
BANGALORE,KHB Yelahanka,1
BANGALORE,Malur Substation,19
GULBARGA,Hangal,4
Halkurike,TUMKUR,1
BANGALORE,Ramanagara,5
BAGALKOT,Hiremural,1
BANGALORE,HAL Substation,6
BANGALORE,Hoody Traction,12
BANGALORE,K&C Valley Substation,2
BANGALORE,RMV Layout,3
BANGALORE,Jigani Substation,6
BANGALORE,Khodays Glass Factory Substation,7
BANGALORE,Kondaspura,3
BANGALORE,Hullenahalli,3
BANGALORE,Vijayapura,3
BANGALORE,Kuduru,1
BANGALORE,Chintamani Substation,27
BANGALORE,Srinivaspura,5
BANGALORE,Vijaynagar Sugars,1
BANGALORE,HSR Layout Substation,4
BANGALORE,NRS Substation (Rajajinagar),6
Bharangi,MYSORE,1
BANGALORE,ISRO Layout Substation,2
BANGALORE,NIMHANS Substation,5
BAGALKOT,Bisnal,3
BANGALORE,IISc MUSS,3
Aremallapur,BAGALKOT,2
BANGALORE,St Johns Wood Substation,1
BANGALORE,Telecom Layout Substation,2
BANGALORE,VIdyanagara Substation,1
GULBARGA,Suzlon Kurugodu,1
BANGALORE,Narsapur,2
BANGALORE,Jayanagar Substation,4
HASSAN,Sanda,5
Allipura,BANGALORE,1
Doni,GULBARGA,1
BANGALORE,BIAL Begur Substation,1
BAGALKOT,Naganur,4
Mittemari,nan,2
BAGALKOT,Sharavathi,3
BANGALORE,Exora,7
BAGALKOT,Gem Sugars,1
BAGALKOT,Guddadahalli,3
BANGALORE,Mylasandra Substation,1
GULBARGA,Rajeshwar,1
BAGALKOT,Dhulked,1
BANGALORE,Sidlaghatta,2
BANGALORE,Brigade Tech Gardens Brookefield,1
Jagaluru,TUMKUR,1
BANGALORE,Giriyapura,3
Chandra Layout,HASSAN,1
HASSAN,Nitturu,1
Bargur,TUMKUR,4
BAGALKOTE,KIADB Gamanagatti,1
BAGALKOTE,LIS,6
BANGALORE,Dubalgundi,3
BAGALKOTE,Kakamari,1
HASSAN,Harave,1
BANGALORE,Nitturu,3
HASSAN,Ponnampet,1
BANGALORE,Bhalki,1
MYSORE,Seelanere,3
Shettikere,TUMKUR,2
BANGALORE,Chakavelu,1
BANGALORE,Kadaganchii,1
BAGALKOTE,Manthur,5
Bajpe,HASSAN,1
BANGALORE,Hampasagara,1
BANGALORE,Madhugiri,2
BANGALORE,MEI Layout,2
BAGALKOTE,Mundaganura,1
BANGALORE,Bellary North,2
BANGALORE,Cleanmax,1
BANGALORE,Surya City,2
Atria,HASSAN,1
HASSAN,Taripura,1
Santhemavatturu,TUMKUR,1
BANGALORE,Suzlon,1
MYSORE,Narayanpur,1
BANGALORE,Renew,1
Bandihalli,nan,1
Honnalli,nan,2
Benkikere,nan,3
Davanagere,nan,1
Kattige,nan,5
Sira,nan,1
Malebennuru,nan,1
Tiptur,nan,1
Huliyar,nan,3
MYSORE,Mattikere,1
Hosakere,nan,1
BAGALKOT,Kotabagi LIS,1
BAGALKOT,Kittur,2
Aques,BAGALKOT,1
BANGALORE,Kyasamballa,1
